Simulation Number, 1  0  0, 0  0  1, 1  0  1,AspectRatio_ 0  0  1/ 1  0  1,AspectRatio_ 1  0  1/ 1  0  0
335.0,144.1,144.4,135.7,1.064112011790715,0.941707147814018
336.0,141.9,139.4,135.8,1.0265095729013254,0.9570119802677942
337.0,140.8,140.2,134.2,1.044709388971684,0.9531249999999999
338.0,137.9,140.2,135.8,1.03240058910162,0.984771573604061
339.0,138.2,140.2,137.4,1.0203784570596797,0.9942112879884227
340.0,139.7,146.1,136.5,1.0703296703296703,0.977093772369363
341.0,139.4,142.7,137.3,1.039329934450109,0.9849354375896701
342.0,137.5,143.6,135.7,1.058216654384672,0.9869090909090908
343.0,138.2,146.1,136.5,1.0703296703296703,0.987698986975398
344.0,138.6,148.6,135.7,1.0950626381724393,0.979076479076479
345.0,139.7,146.9,138.8,1.0583573487031699,0.9935576234788834
346.0,140.0,151.1,139.6,1.082378223495702,0.9971428571428571
347.0,141.6,152.0,139.0,1.0935251798561152,0.9816384180790961
348.0,140.8,151.1,140.5,1.0754448398576513,0.9978693181818181
349.0,139.4,151.1,143.9,1.050034746351633,1.0322812051649928
350.0,143.0,155.3,143.0,1.0860139860139861,1.0
351.0,137.9,152.8,143.8,1.062586926286509,1.0427846265409717
352.0,142.7,157.9,142.2,1.110407876230661,0.9964961457603364
353.0,142.3,156.2,146.1,1.0691307323750856,1.0267041461700632
354.0,140.8,156.2,144.6,1.0802213001383125,1.0269886363636362
355.0,147.1,158.7,147.0,1.0795918367346937,0.9993201903467029
356.0,146.8,161.2,147.8,1.0906630581867387,1.0068119891008174
357.0,146.8,162.1,148.6,1.0908479138627187,1.0122615803814712
358.0,145.3,162.9,150.2,1.0845539280958723,1.033723331039229
359.0,147.2,162.9,150.1,1.0852764823451033,1.0197010869565217
360.0,147.5,162.9,151.1,1.0780939774983456,1.024406779661017
361.0,150.5,166.3,150.3,1.1064537591483699,0.998671096345515
362.0,148.3,166.3,150.9,1.102054340622929,1.0175320296695887
363.0,150.6,167.9,149.4,1.1238286479250335,0.9920318725099603
364.0,148.3,165.4,151.9,1.0888742593811718,1.024275118004046
365.0,150.1,167.9,152.0,1.1046052631578949,1.0126582278481013
366.0,154.6,173.0,150.2,1.151797603195739,0.9715394566623544
367.0,154.6,172.1,151.9,1.1329822251481236,0.9825355756791722
368.0,154.9,173.0,151.1,1.1449371277299802,0.9754680438992898
369.0,155.4,173.8,151.1,1.1502316346790207,0.9723294723294723
370.0,152.3,143.6,141.3,1.016277423920736,0.927774130006566
371.0,146.1,149.5,135.8,1.100883652430044,0.9295003422313485
372.0,144.9,141.1,139.6,1.0107449856733524,0.963423050379572
373.0,141.6,144.4,134.1,1.0768083519761373,0.9470338983050848
374.0,144.9,146.1,139.0,1.0510791366906473,0.9592822636300897
375.0,142.7,141.1,135.7,1.0397936624907886,0.9509460406447092
376.0,143.4,138.5,140.6,0.9850640113798009,0.9804741980474198
377.0,136.4,139.4,137.3,1.0152949745083757,1.0065982404692082
378.0,136.7,140.2,134.9,1.039288361749444,0.9868324798829555
379.0,138.2,141.1,135.7,1.0397936624907886,0.9819102749638206
380.0,143.1,145.3,137.3,1.0582665695557174,0.9594689028651294
381.0,141.2,141.9,130.9,1.084033613445378,0.9270538243626063
382.0,136.3,143.6,132.5,1.0837735849056602,0.9721203228173146
383.0,137.8,143.6,134.9,1.0644922164566344,0.978955007256894
384.0,138.9,145.3,135.8,1.0699558173784978,0.9776817854571634
385.0,140.8,145.3,134.2,1.0827123695976157,0.9531249999999999
386.0,140.0,145.3,136.5,1.0644688644688645,0.975
387.0,136.7,144.4,142.9,1.0104968509447165,1.045354791514265
388.0,141.6,150.3,140.7,1.0682302771855012,0.9936440677966101
389.0,139.0,149.5,139.7,1.0701503221188262,1.0050359712230215
390.0,140.9,149.5,143.9,1.0389159138290478,1.021291696238467
391.0,140.4,151.1,142.9,1.0573827851644506,1.0178062678062678
392.0,139.7,153.7,143.0,1.0748251748251747,1.0236220472440947
393.0,140.5,155.3,144.6,1.0739972337482713,1.0291814946619218
394.0,140.1,152.0,147.0,1.034013605442177,1.049250535331906
395.0,141.6,156.2,145.3,1.0750172057811422,1.026129943502825
396.0,140.8,155.3,146.1,1.0629705681040384,1.0376420454545454
397.0,143.8,157.9,146.9,1.0748808713410483,1.021557719054242
398.0,145.3,159.5,149.3,1.0683188211654386,1.0275292498279422
399.0,143.8,159.5,150.2,1.0619174434087884,1.0445062586926286
400.0,144.9,162.1,147.7,1.0974949221394719,1.0193236714975844
401.0,145.3,162.9,150.9,1.0795228628230615,1.038540949759119
402.0,149.4,165.4,150.3,1.100465735196274,1.0060240963855422
403.0,147.5,166.3,151.8,1.0955204216073782,1.0291525423728813
404.0,150.9,167.1,149.4,1.1184738955823292,0.9900596421471173
